nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Busche,,hamlet,,,43.1911757,12.767684,3888036408,,Q18492249
Ca Nardino,,hamlet,,,43.3714864,12.1525573,10548561702,,
Ca' Carbone,,hamlet,,,42.8902112,12.3598688,339387549,,Q18492251
Ca' Gentili,,hamlet,,,43.0587204,12.2059599,2475066751,,Q18492259
Ca' Gragnoli,,hamlet,,,43.4509855,12.2986236,5822621543,,
Ca' Rosaia,,hamlet,,,43.0755864,12.7657404,317001001,,Q18492422
Ca' Torrioli,,hamlet,,,43.5247055,12.1927874,4026565727,,Q18492261
Ca' de' Conte,,hamlet,,,43.5225624,12.1414802,750562715,,Q18492253
Ca' di Magnano,,hamlet,,,43.5607648,12.1842828,623598969,,Q18492255
Ca' di Nardo,,hamlet,,,43.5473235,12.1626465,623598955,,Q18492257
Caccavelle,,hamlet,,,42.6680475,12.0472171,4354622739,,
Cacciano,,hamlet,,,42.8483933,12.4262106,461626553,,Q18492264
Caciaro,,hamlet,,,42.7816715,12.5152063,4004385959,,Q18492266
Caibelli,,hamlet,,,43.4632594,12.5461074,4001259781,,Q18492268
Caimariotti,,hamlet,,,43.4532145,12.5630517,4001259782,,Q18492270
Caioncola,,hamlet,,,43.0235999,12.0145048,1296554661,,Q18492272
Caligiana,,hamlet,,,43.1726744,12.2539939,4003815589,,Q18492274
Calledro,,hamlet,,,42.4656999,12.4345642,12155518439,,
Calvi dell'Umbria,,village,,,42.4031242,12.567432,68507849,it:Calvi dell'Umbria,Q6321
Calzolaro,,village,,,43.346275,12.2233459,3889442816,,
Camerata,,hamlet,,,42.7029232,12.3817857,1602682384,,Q18492278
Camiano Grande,,hamlet,,,42.8937794,12.6621314,3890171404,,Q18492280
Camiano Piccolo,,hamlet,,,42.8917586,12.6587553,3890171405,,Q18492282
Camino,,hamlet,,,42.9335018,12.8917117,1763549995,,
Cammoro,,hamlet,,,42.8928644,12.8527823,4028637572,it:Cammoro,Q3651642
Campello Alto,,hamlet,,,42.8283283,12.7850158,3961981090,,
Campello sul Clitunno,,village,,,42.8228682,12.7762635,68507530,,Q20146
