nome,nome_it,tipo,comune,provincia,lat,lon,osm_id,wikipedia,wikidata
Badia Tega,,hamlet,,,43.6630476,11.7422342,440739299,,Q18484030
Badia a Cerreto,,hamlet,,,43.5464203,11.0235868,12725506498,,Q18486373
Badia a Elmi,,village,,,43.5385435,11.0316273,374358264,en:Badia a Elmi,Q3632782
Badia a Montemuro,,hamlet,,,43.5457838,11.3977184,331345540,it:Badia a Montemuro,Q3632783
Badia a Pacciana,,hamlet,,,43.9060749,10.9659439,1185373744,,
Badia a Passignano,,hamlet,,,43.5777716,11.2479543,312565286,,
Badia a Pomaio,,hamlet,,,43.4774856,11.947165,1502893200,,
Badia a Ruoti,,hamlet,,,43.3962769,11.6030896,286418395,,Q18484006
Badia a Settimo,,village,,,43.7787111,11.1478571,537532952,,Q42402742
Badia al Pino,,village,,,43.4055479,11.7678031,309455184,,Q18508847
Badia del Borgo,,hamlet,,,44.0754965,11.632037,3463523531,,
Badia della Valle,,hamlet,,,44.0739182,11.689059,771477759,,
Badia di Cantignano,,hamlet,,,43.8035783,10.5041975,1984084108,it:Badia di Cantignano,Q3632786
Badia di Susinana,,hamlet,,,44.1406803,11.5758218,56018981,it:Badia di Santa Maria a Susinana,Q3632804
Badicorte,,village,,,43.3238975,11.7833853,271079158,,Q18484035
Badione,,hamlet,,,43.3957575,10.5139509,7256762874,,Q18490038
Badisugarello,,hamlet,,,42.7451806,10.3643365,3481583402,,
Bagaia,,hamlet,,,44.0654176,10.9321421,7879914983,,
Baggino,,hamlet,,,43.9965844,10.9218521,987918228,,
Baggio,,hamlet,,,43.9900908,10.9632834,721042672,it:Baggio (Pistoia),Q3632859
Bagnacci,,hamlet,,,43.6378093,11.8399703,1389538321,,
Bagnaia,,village,,,42.8104775,10.3643812,374156822,,Q18487971
Bagnaia,,hamlet,,,43.4785891,12.0573801,1271320327,,Q18484051
Bagnaia,,hamlet,,,43.2165998,11.2925165,1330953473,"en:Bagnaia, Murlo",Q18491442
Bagnatoio,,hamlet,,,44.0436015,11.3013159,1293306620,,Q18486381
Bagni,,hamlet,,,44.2053626,9.9619675,1267021666,,Q18489265
Bagni Caldi,,hamlet,,,44.0123536,10.5817922,6603882870,it:Bagni Caldi,Q65479760
Bagni San Filippo,,village,,,42.9289716,11.7023647,2510341160,it:Bagni San Filippo,Q945761
Bagni di Lucca,,village,,,44.0099818,10.590633,61753559,,
Bagni di Montalceto,,hamlet,,,43.2194762,11.6163708,2051416745,,Q107011342
Bagni di Petriolo,,hamlet,,,43.0803293,11.2994896,729785662,it:Terme di Petriolo,Q799945
Bagno,,hamlet,,,42.7949661,10.2159935,317675354,,Q18487972
Bagno,,hamlet,,,43.8103854,11.0218097,5337653114,,Q18491309
Bagno Roselle,,village,,,42.8102983,11.1397105,482506577,it:Roselle (Grosseto),Q1231529
Bagno Vignoni,,village,,,43.0281234,11.6186793,313341972,it:Bagno Vignoni,Q799948
Bagno a Morbo,,hamlet,,,43.2276679,10.8869745,495226420,,Q18490040
Bagno di Gavorrano,,village,,,42.9393438,10.8869206,2795141553,it:Bagno di Gavorrano,Q2148052
Bagnoli,,village,,,42.8712119,11.5494611,2532210166,it:Bagnoli (Arcidosso),Q2223135
Bagnolo,,village,,,42.8410943,11.6143756,1392064096,it:Bagnolo (Santa Fiora),Q2006960
Bagnolo I,,hamlet,,,43.5570558,12.0238583,623598889,,Q18508852
Bagnolo-Cantagallo,,hamlet,,,43.6939729,11.2209676,336483334,,Q18486385
Bagnone,,village,,,44.3147394,9.9946555,61753579,,
Bagnore,,village,,,42.8471532,11.5670871,297308354,it:Bagnore,Q2855029
Bagnoro,,hamlet,,,43.4338885,11.8933629,566994416,,
Balatro Rosso,,hamlet,,,43.7162145,11.3289357,318680480,,Q18486389
Balbano,,village,,,43.8320537,10.3956929,259090701,,
Balconevisi,,village,,,43.6325972,10.8347168,495236999,it:Balconevisi,Q3633240
Balconevisi,,hamlet,,,43.6392052,10.8345783,495237021,,
Baldignano,,hamlet,,,43.6241737,12.083206,3474636520,,
Baltrina II,,hamlet,,,44.2381559,9.9374891,1445480415,,Q18489267
Bandello,,hamlet,,,43.3293366,10.6158857,495230287,,
Bandita,,hamlet,,,43.0282889,10.6368049,1265954986,,Q18487974
Banditella,,hamlet,,,42.5777229,11.2963975,1902340393,,
Banditelle,,hamlet,,,43.0041461,10.6316758,2813475273,,
Banzena,,hamlet,,,43.7197935,11.8674681,1306161230,,Q18484069
Barabarca,,hamlet,,,42.7493936,10.3635129,3481603489,,
Barano,,hamlet,,,43.7776897,10.9585373,4490607807,,Q18486403
Baratti,,hamlet,,,44.2848155,10.0122009,996611389,,
Baratti,,hamlet,,,42.9986192,10.5166882,2813475274,it:Baratti (Piombino),Q1172685
Barba,,village,,,43.8815802,10.9733511,1872468120,,Q18490644
Barbaramento di Sopra,,hamlet,,,43.9973934,10.4073116,13382389999,,
Barbaramento di Sotto,,hamlet,,,43.999562,10.4036811,13382390000,,
Barbarasco,,village,,,44.2421231,9.9469268,997723706,,
Barbaruta,,hamlet,,,42.8093112,11.0394944,4802719640,,Q98606123
Barberino Val d'Elsa,,village,,,43.5418625,11.1714189,61753455,it:Barberino Val d'Elsa,Q82615
Barberinuzzo,,hamlet,,,43.602869,11.1085321,4566836875,,
Barbiana,,hamlet,,,43.8990364,11.4606281,3915265836,,
Barbiano,,hamlet,,,43.7365394,11.6658501,3472888268,,Q18484075
Barbischio,,hamlet,,,43.4629837,11.4549861,339658535,it:Barbischio,Q3634776
Barca,,hamlet,,,43.3533505,11.4531278,496114541,,
Barca,,hamlet,,,44.416395,9.833541,577582640,,
Barca di Noce,,hamlet,,,43.688607,10.5249251,13378254314,,
Barche,,hamlet,,,43.8157521,10.9982367,5523920854,,Q18491310
Barco,,hamlet,,,44.0583055,11.398268,399064483,,Q18486410
Barco,,hamlet,,,44.2097702,9.9242875,1267019935,,Q18489271
Bardalone,,village,,,44.0394865,10.8496741,1884450260,it:Bardalone,Q2753139
Bardani,,hamlet,,,44.0496122,10.4871591,1267062927,,Q18488417
Bardine,,hamlet,,,44.1878082,10.0152026,1267020593,,Q18489275
Bardine,,hamlet,,,44.1513091,10.0809968,1411140437,,
Bardine di San Terenzo,,hamlet,,,44.1767064,10.0637905,1267021422,,Q18489273
Barga,,village,,,44.0739178,10.484263,61753537,it:Barga,Q216479
Bargana,,hamlet,,,44.0503113,10.1447275,1433663385,,
Bargecchia,,hamlet,,,43.9054517,10.312806,268100369,it:Bargecchia,Q3634965
Bargecchia,,hamlet,,,44.123093,10.4411913,3049462640,,
Bargi,,village,,,43.9118259,10.8882412,2052009012,,
Bargino,,village,,,43.6162002,11.1901417,312565288,it:Bargino,Q3634968
Barile,,hamlet,,,43.9187946,10.8812198,2736171442,it:Barile (Pistoia),Q2688072
Barisello,,hamlet,,,44.2096964,10.0205704,1267019770,,Q18489278
Barliano,,hamlet,,,43.5064338,12.0616246,3457303680,,
Baronta,,hamlet,,,43.7454917,11.2251287,10169952943,,Q18486416
Barontoli,,hamlet,,,43.2699024,11.2822674,13074171244,it:Barontoli,Q27899054
Baruffi,,village,,,43.7072203,11.2290894,1494097537,it:Baruffi,Q3635481
Barullo,,hamlet,,,43.1833378,11.9315398,1714496424,,
Basati,,village,,,44.0098337,10.253189,1432203693,,Q18488423
Basciano,,hamlet,,,43.3717052,11.2962135,1542355687,"en:Basciano, Monteriggioni",Q18491450
Basciano,,hamlet,,,43.8338611,11.3012539,2844432874,,
Baselica,,hamlet,,,44.4293734,9.8274926,925807232,it:Baselica,Q3635590
Bassa,,village,,,43.7234343,10.8739439,1715978653,,Q18486422
Basse di Caldana,,hamlet,,,42.8987449,10.9464077,2795141554,,Q18487593
Bassetti,,hamlet,,,43.5306169,11.0638106,374358289,,Q18486425
Bassone,,hamlet,,,44.3865538,9.8448602,3461571610,it:Bassone,Q3636067
Bastia,,hamlet,,,44.2644476,10.0484376,1003630470,,
Bastia,,hamlet,,,43.6948836,10.8944893,1197549132,,Q18486432
Bastianella,,hamlet,,,43.9197158,10.2916608,416478429,,
Batano,,hamlet,,,43.9015342,10.6119354,495243537,,Q18488427
Batelli,,hamlet,,,43.5194211,11.4810278,339654054,,Q18484099
Batignano,,village,,,42.8678785,11.1665951,662794092,it:Batignano,Q1118231
Batoni,,hamlet,,,43.9320223,10.4226198,897045704,,
Batoni,,hamlet,,,43.931614,10.4229457,13429059759,,
Battifolle,,hamlet,,,43.7514007,11.6670575,2500535082,,
Battifolle,,village,,,43.4423726,11.7827768,2815921495,,
Battiloro,,hamlet,,,43.9631573,11.3972868,326125027,,Q18486435
Bavecchia,,hamlet,,,43.8034352,11.5272607,2865922048,,
Bebbio,,hamlet,,,44.0940715,10.5222564,1293853539,,Q18488430
Bedizzano,,village,,,44.0788985,10.1241429,1433663472,,Q18489284
Belfiore,,hamlet,,,43.7505598,11.0932127,11188079696,,Q18486437
Belforte,,village,,,43.2324664,11.0619334,1790646074,it:Belforte (Radicondoli),Q17992202
Bellaria,,hamlet,,,43.3115068,11.2401828,1496252461,,
Bellavalle,,hamlet,,,44.0923101,10.9904201,1467651466,,
Bellavista,,hamlet,,,43.4218101,11.6054694,339654056,,Q18484132
Bellavista,,hamlet,,,43.2394903,11.0526378,2985033422,,
Bellosguardo,,hamlet,,,43.5325969,11.4897755,339662813,,Q18484138
Belriguardo,,hamlet,,,43.9847718,10.8633875,1416251433,,Q18490654
Belriguardo,,hamlet,,,43.3397038,11.2832684,10821583061,,Q18490654
Belvedere,,hamlet,,,44.3890807,9.844596,1003601998,,Q18489285
Belvedere,,hamlet,,,43.626026,11.575146,1271465212,,
Belvedere,,hamlet,,,42.7531914,11.5619705,1302480622,,Q18487595
Belvedere,,hamlet,,,43.0888429,10.6745112,2813475276,,Q56550394
Belvedere,,hamlet,,,42.9411065,11.6453249,4525201979,,
Benabbio,,hamlet,,,43.9987992,10.6035876,1286376918,it:Benabbio,Q3637966
Benedettini,,hamlet,,,42.8951855,11.5137635,7859907889,,Q18487597
Bergiola,,village,,,44.0670865,10.124116,1433663526,it:Bergiola,Q67123900
Bergiola Maggiore,,hamlet,,,44.0537762,10.1429788,980061152,,Q18489287
Bergondola,,hamlet,,,44.293212,9.9310946,7856861119,,
Bergugliara,,hamlet,,,44.3497782,9.7391404,402496503,,Q18489289
Bertine,,hamlet,,,43.5287106,12.0857173,1271320223,,Q18484146
Bettola,,hamlet,,,44.1769906,9.9292863,1267020425,,Q18489291
Bettolle,,village,,,43.206274,11.804331,254052859,it:Bettolle,Q676702
Biagi,,hamlet,,,44.0761252,10.4604147,1267063937,,Q18488434
Biagioni,,hamlet,,,42.9040869,10.8743927,531401663,,
Biagioni,,hamlet,,,43.8120294,10.7272908,1575982748,,
Bibbiana,,hamlet,,,44.1295253,11.5135752,3902576112,,
Bibbiano,,hamlet,,,43.4467178,11.1025644,317673054,it:Bibbiano (Colle di Val d'Elsa),Q2914527
Bibbiano,,hamlet,,,43.5731631,11.8214691,440174970,,Q18484149
Bibbiano,,hamlet,,,43.4372776,11.2365013,470216762,,
Bibbiano,,village,,,43.1239014,11.4486116,2600943887,it:Bibbiano (Buonconvento),Q33009821
Bibbona,,village,,,43.2697843,10.5972697,61753510,it:Bibbona,Q157673
Bibola,,hamlet,,,44.1921981,9.981254,1267021215,,
Bicchiere di sopra,,hamlet,,,44.1370088,10.7025054,2128970250,,Q18490656
Bicciano,,hamlet,,,43.579855,11.7936323,440216272,,Q18484160
